	CAPHI	IPA	Sound	Letter	HSB	Mapping	Example CODA	Example	Example Gloss	Example Dialect	Consonant/Vowel	CAPHI sorting order	CODA sorting order	audio URL	audio icon
64	gh	ɣ	French r	ر	r		اريد	2 a gh ii d	I want	Mosul	consonant	31	17	https://drive.google.com/file/d/0BxiVQ46wWCOFMzZFOS1oUTNKWjg/view?usp=sharing,%20	🔊
65	7	ħ	pharyngeal fricative	ح	H	default	حبّ	7 a b b	he loved	Sfax	consonant	32	13	https://drive.google.com/file/d/0BxiVQ46wWCOFMmxicUoxanpHc3M/view?usp=sharing,%20	🔊
66	3	ʕ	voiced ħ	ع	ς	default	عمّر	3 a m m a r	he filled	Rabat	consonant	33	25	https://drive.google.com/file/d/0BxiVQ46wWCOFcnE4dWx4UHJVaGs/view?usp=sharing,%20	🔊
67	2	ʔ	glottal stop	ء	'	default	غطاء	gh t. aa 2	blanket	Tunis	consonant	34	1	https://drive.google.com/file/d/0BxiVQ46wWCOFaGV3RWRkMTRycWM/view?usp=sharing,%20	🔊
68	2	ʔ	glottal stop	آ	Ā	default	آمين	2 aa m ii n	amen	Abu Dhabi	consonant	34	2	https://drive.google.com/file/d/0BxiVQ46wWCOFcy1oZHBlbTFPTkk/view?usp=sharing,%20	🔊
69	2	ʔ	glottal stop	أ	Â	default	متأكد	m i t 2 a k k i d	sure	Amman	consonant	34	3	https://drive.google.com/file/d/0BxiVQ46wWCOFaUllNlBvZG9BVlk/view?usp=sharing,%20	🔊
70	2	ʔ	glottal stop	إ	Ǎ	default	إجازة	2 i dj aa z e	vacation	Sana’a	consonant	34	5	https://drive.google.com/file/d/0BxiVQ46wWCOFNkxUQS1BNGFMS1k/view?usp=sharing,%20	🔊
71	2	ʔ	glottal stop	ؤ	ŵ	default	تساؤل	t a s aa 2 u l	question	Muscat	consonant	34	4	https://drive.google.com/file/d/0BxiVQ46wWCOFVy1rT1VDUEdER2c/view?usp=sharing,%20	🔊
72	2	ʔ	glottal stop	ئ	ŷ	default	جائز	j aa 2 i z	possible	Mosul	consonant	34	6	https://drive.google.com/file/d/0BxiVQ46wWCOFVWtGWXNZZEJhMTA/view?usp=sharing,%20	🔊
73	2	ʔ	glottal stop	ق	q		طريق	t. a r ii 2	road	Damascus	consonant	34	34	https://drive.google.com/file/d/0BxiVQ46wWCOFdkJsaUx6LXc2TTg/view?usp=sharing,%20	🔊
